Unnamed: 0,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Class,photo,x,y,Class_new
10,074-011-X,9,10,85,-6.6,Late II,Animals,Model animal,"Shell. A very carefully carved bull''s head with sockets for the eyes, ears and horns, which were doubtless made of some rare material afterwards removed. This head was probably cemented by the flat surface at the back to a body.  ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/074-011-x.png,68.13711556472455,27.32711609513018,Play/ Spiritual
132,112-010-X,7,0,,-36.6,Early Periods,Animals,Model animal,"Pottery, with a cream slip. A humpless bull with round, inlaid pellets to represent theeyes. Horns and three of the legs are missing. Wrinkles round neck and back incised with a sharp pointed instrument. Apparently solid, and somewhat roughly made. Traces of fine mica and lime in the clay, the lime in particles of appreciable size. ",Artefacts,Domestic,,68.1373688,27.32672573,Play/ Spiritual
18,077-003-X,9,10,83,-5.2,Late II,Animals,Model animal,"Pottery, with no slip nor traces of colour. With its downward drooped wings, this may represent a dove. Two holes in the base of the figure just below the neck evidently took small peg legs. Very careful work as though made in a mould and touched up afterwards. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/077-003-x.png,68.13711556472455,27.32711609513018,Play/ Spiritual
21,056-054-X,10,2,26,-11.1,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_1/056-054-x.png,68.13696757020749,27.326793023227424,Feeding / holding
133,112-011-X,7,0,,-42.1,Early Periods,Animals,Model animal,"Pottery, with a cream slip. Humped bull with round, inlaid pellets for eyes. Horns missing. Fore- and hind-legs joined in pairs; slightly damaged. Wrinkles on hump and lower part of head incised with a pointed instrumetn. Fine red clay tempered with mica and lime. Solid and not particularly carefully made. ",Artefacts,Domestic,,68.1373688,27.32672573,Play/ Spiritual
24,077-009-X,9,9,66,-10.8,Intermediate I,Animals,Model animal,"Faience, with traces of apple-green glaze. Eyes and nostrils indicated by small pittings and the mouth by a cut. Perforated longtitudinlly, and obviously intended to be worn on a cord as an amulet. Very roughly finsihed. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/077-009-x.png,68.13699991543639,27.32712846,Play/ Spiritual
25,058-004-X,4,0,,-11.7,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_1/058-004-x.png,68.13748153678563,27.32657154220549,Feeding / holding
163,112-004-X,7,0,,-42.6,Early Periods,Cooking Baking Utensils,Triangular Plaque,"Pottery. Roughly baked. Carelessly made, and had been laid on chopped straw to dry before bakign, as shown by the imprints of the straw on one side. ",Artefacts,Domestic,,68.1373688,27.32672573,Feeding / holding
30,077-015-X,9,4,6,-6.8,Late II,Animals,Model animal,"Bronze(?) Figure of a eam in couchant position. Though carefully made, corrosion has removed much of the detail. A small pit on the shoulders suggests that it was intended to drill a hole to take a cord.",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/077-015-x.png,68.13696016573564,27.326984249612284,Play/ Spiritual
32,077-017-X,9,0,90,-8.2,Late III,Animals,Model animal,"Pottery. Small dog with a curled tail and lop ears. Nostrils and mouth not indicated, but the eyes are represented by round pellets. Roughly modelled, possibly a child. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/077-017-x.png,68.13713331005422,27.326970543563384,Play/ Spiritual
33,077-018-X,9,3,29,-1.9,Late Ia,Animals,Model animal,"Pottery, formerly covered with a red wash. A curious, dog-like beast with broad erect ears and a very definite beard roughly incised to represent the separate hairs. Both ears adn nostrils are further elaborated by holes. The pellet eyes are now missing, and so is the rial. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/077-018-x.png,68.13723189893246,27.326929151802386,Play/ Spiritual
34,077-019-X,9,9,65,-11.5,Intermediate I,Animals,Model animal,"Faience, with no trace of glaze left. Soft white paste resembling powdered wteatite. Dog with long pricked ears, and the eyes, nostrils and mouth represented by indentations. Badly weathered, with portion missing. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/077-019-x.png,68.13699991543639,27.32712846,Play/ Spiritual
35,077-020-X,9,1,47,-3.4,Late Ib,Animals,Model animal,"Squirrel. Vitreous paste, turquoise-blue in colour. The three strips down the back are indicated by a purplish-brown, doubless a mananese paint. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/077-020-x.png,68.13725277565722,27.32701849991655,Play/ Spiritual
37,058-012-X,10,4,87,-11.7,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_1/058-012-x.png,68.13657194616044,27.32668986116248,Feeding / holding
38,078-001-X,9,7,17,-9.1,Late III,Animals,Model animal,"Pottery, with a cream slip. Roughly modelled bull. Both horns missing. Plain, round pellets for eyes. No markings of any desciption; apparently the work of a child. Both the fore and hind-legs are joined; no attempt was made to separate them even by a line-but for this the modeling of this anumal is fairly good. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/078-001-x.png,68.13684339292682,27.32681827002492,Play/ Spiritual
39,078-002-X,9,8,20,-10.2,Intermediate I,Animals,Model animal,"Faience, with traces of a dark red(?) glaze. Soft, white paste, possibly powdered steatite. Head of a monkey with incised holes to represent eyes, ears and nostrils, and a narrow silt for the mouth. The parting of the hair on the top of the head is carefully indicated. Quite creditable workmanship. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/078-002-x.png,68.13686443,27.327119842504317,Play/ Spiritual
45,078-008-X,4,0,14,-8.2,Late III,Animals,Model animal,"Pottery, with a light red slip. This is possibly a monkey climbing a tree. The eyes are represented by round pellets, the nostrils and mouth by a slight incisions. Though the tail is missing, its stumps suggests that it ws held close to the legs. ",Artefacts,Domestic,,68.13748153678563,27.32657154220549,Play/ Spiritual
46,078-009-X,9,12,90,-6.9,Late II,Animals,Model animal,"Pottery, with traces of a light red slip. Roughly made and finished.",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/078-009-x.png,68.13725408069455,27.32714321,Play/ Spiritual
195,109-031-X,7,0,,-13.7,Intermediate II,Cooking Baking Utensils,Tube,Made of a carefully cleaned-out bone. The outside is polished by much use. ,Artefacts,Domestic,,68.1373688,27.32672573,Feeding / holding
228,112-003-X,7,0,,-41,Early Periods,Games And Toys,"Light red pottery. The lines that decorate this rattle are now light grey, perhaps owing to a long immersion in water having latered the original red.  ","Average diameter 2.3"" ",Artefacts,Domestic,,68.1373688,27.32672573,Play/ Spiritual
274,112-005-X,7,0,,-41,Early Periods,Games And Toys,Wheel,"Pottery; containing a plentiful admixture of coarse lime particles.Hole in centre, shows a certain amount of wear. ",Artefacts,Domestic,,68.1373688,27.32672573,Play/ Spiritual
52,108-014-X,4,0,5,-18.4,Intermediate III,Cooking Baking Utensils,Peg,Part of the horn of a deer or antelope with a groove cut round it near the broader end. ,Artefacts,Domestic,,68.13748153678563,27.32657154220549,Feeding / holding
55,079-006-X,9,2,9,-12.2,Intermediate I,Animals,Model animal,"Bronze. Dog with collar round neck. Prick ears and upright tail. Short mastiff-like muzzle. Fore- and hid-legs cast together; but it may have been intended to separate them later by cutting. Well made, but very much corroded. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/079-006-x.png,68.13703904,27.32700430879081,Play/ Spiritual
56,109-060-X,4,0,8,-17.7,Intermediate III,Games And Toys,Whistle,"Very hard baked pottery; no slip. A somewhat roughly made, pear-shaped object with a small hole at the top and another in the side. Three of these whistles, all slightly different in size, were found together. ",Artefacts,Domestic,,68.13748153678563,27.32657154220549,Play/ Spiritual
57,079-008-X,9,8,18,-14.3,Intermediate II,Animals,Model animal,"Pottery; no slip. A hollow, round bodied anumal similar to No, 7 but with the ears practically perfect. The tail hangs, instead of being upright. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/079-008-x.png,68.13686443,27.327119842504317,Play/ Spiritual
60,079-011-X,9,3,35,-15.8,Intermediate II,Animals,Model animal,"Pottery; with a cream slip. Solid. Dog with heavy collar round neck. Short prick ears; apparently upright tail, now broken. ",Artefacts,Domestic,https://raw.githubusercontent.com/PrattSAVI/LIAVH/master/images_2/079-011-x.png,68.13723189893246,27.326929151802386,Play/ Spiritual
