Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Class,x,y,Class_new,Path,,,,,,,,,,,,
037-00b-X,7,4,50,-20.4,Intermediate III,Pottery - Jar,,"Inside the western doorway of room 50 of House IV was a large pottery jar fed by a little runnel (PI. XXXVII, b) made of a partially scooped-out brick, that seems never to have been covered in. As this vessel was inside the room and the liquid arrived from outside�a most unusual arrangement we must suppose that here we have the remains of some apparatus for brewing or perhaps, the preparation of oil. The jar was not holed as a drainage jar would have been, and it was well made and coated on the outside with a thick red slip which would prevent percolation.",Water Features,Drainage,037-00b-x.png,,Feeding / holding,"https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_4/Room_50/037-00b-x.png								",,,,,,,,,,,,
054-005-X,9,10,55,-9.1,Late III,Pottery - Incised and Painted - Upper,,,Artefacts,Domestic,68.13711556472455,27.32711609513018,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_10/Room_55/054-005-x.png,,,,,,,,,,,,
054-012-X,7,4,72,-7.7,Late III,Tools,Candle-stick,"Pottery candle-stick. Made of the usual pink ware with a heavy admixture of sand, mica and lime, but no slip, and is very thick and heavy in make with its flat broad base carefully trimmed. The vertical hole running right through the susbstantial candle-holder in the centre also pierces the base of the stand. Unfortunately, the upper part of the candle-holder is missng and we do not know its shpe; but in its present state the holder still projects above the rim of the dish. ",Artefacts,Craft,68.13749372,27.32680897,Making / Craft / Food,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_4/Room_72/054-012-x.png,,,,,,,,,,,,
054-014-X,9,8,15,-10.7,Intermediate I,Tools,Flesh-rubber,"Light red  paste, plentifully mixed with lime and an unusually large proportion of sand to make it rough and gritty. A vent-hole at one end.",Artefacts,Craft,68.13686443,27.32711984250432,Making / Craft / Food,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_8/Room_15/054-014-x.png,,,,,,,,,,,,
055-001-X,9,4,7,-6.5,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696016573564,27.326984249612284,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_4/Room_7/055-001-x.png,,,,,,,,,,,,
055-003-X,9,4,7,-4.6,Late Ib,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13696016573564,27.326984249612284,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_4/Room_7/055-003-x.png,,,,,,,,,,,,
055-007-X,7,1,9,-5.8,Late II,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13715852,27.32673193853581,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_1/Room_9/055-007-x.png,,,,,,,,,,,,
055-010-X,9,2,9,-7.4,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13703904,27.32700430879081,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_2/Room_9/055-010-x.png,,,,,,,,,,,,
055-012-X,7,1,19,-9.9,Intermediate I,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13715852,27.32673193853581,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_7/House_1/Room_19/055-012-x.png,,,,,,,,,,,,
055-014-X,9,6,34,-7.7,Late III,Pottery - Plain and Banded,,,Artefacts,Domestic,68.13691437157924,27.326887650571138,Feeding / holding,https://raw.githubusercontent.com/LIAVH-MLab/mohenjo-daro/refs/heads/master//Block_9/House_6/Room_34/055-014-x.png,,,,,,,,,,,,
