obj_plate_obj_ID,obj_plate,obj_plate_roman,obj_plate_num,obj_geo_B-U-S,obj_block,obj_house,obj_house_roman,obj_room,obj_geo_B-U-S_2,obj_block2,obj_house2_roman,obj_house2,obj_room2,obj_geo_STRT-S,obj_street_abbr,obj_street,obj_st_num_2dig,obj_st_num,obj_level_ft,obj_time_cat,obj_admin_blockorigtext,obj_admin_room2origtext,obj_admin_blockadj,obj_admin_blocksub,obj_admin_roomadj,obj_admin_datanotes,obj_source_cat,obj_category,addl_type,addl_description,addl_dimension,bead_Len_or_Ht_in,bead_width_in,bead_Thickness_in,bead_Diameter_in,bead_Pottery,bead_Shell,bead_Falence,bead_Vltreous_paste,bead_Paste,bead_Steatite,bead_Gold,bead_Silver,bead_Copper_or_Bronze,bead_Carnelian,bead_Lapls_lazuli,bead_Jasper,bead_Quartz,bead_Green_felspar,bead_Onyx,bead_Agate,bead_Haematte,bead_Limestone,bead_Serpentine,bead_Breccia,bead_Turquoise,metl_type,metl_copper,metl_bronze,metl_length_in,metl_width_in,metl_thickness_of_tang_in,metl_thickness_of_blade_in,metl_height_in,metl_diameter_in,ptip_thickness_in,ptip_width_in,ptip_length_in,ptip_slips_lt_red,ptip_slips_dark_red,ptip_slips_cream_or_white,ptip_slips_green,ptip_slips_pink,ptip_degrainssants_sand,ptip_degrainssants_mica,ptip_degrainssants_lime,ptip_degrainssants_dirt,ptip_paints_black,ptip_paints_red,ptip_paints_green,ptip_paints_yellow,ptip_paints_white,ptip_width_and_length_orig,ptup_field_No,ptup_slips_lt_red,ptup_slips_dark_red,ptup_slips_cream_or_white,ptup_slips_green,ptup_slips_pink,ptup_degrainssants_sand,ptup_degrainssants_mica,ptup_degrainssants_lime,ptup_degrainssants_dirt,ptup_paints_black,ptup_paints_red,ptup_paints_green,ptup_paints_yellow,ptup_paints_white,ptup_height,ptup_length,ptup_breadth,ptup_thickness,ptpb_type,ptpb_field_No,ptpb_pastes_lt_red,ptpb_pastes_pink,ptpb_pastes_grey,ptpb_pastes_drab,ptpb_slips_crown_or_white,ptpb_slips_red,ptpb_slips_brown_or_purple,ptpb_slips_black,ptpb_slips_pink,ptpb_degrainssants_sand,ptpb_degrainssants_mica,ptpb_degrainssants_lime,ptpb_degrainssants_dirt,ptpb_paints_black,ptpb_paints_purple_black,ptpb_paints_red,ptpb_paints_white,ptpb_trimming,seal_type,seal_material,seal_dimensions_L_in,seal_dimensions_W_in,seal_dimensions_T_in,seal_dimensions_in_orig
074-001-X,074,LXXIV,1,14-X-01-04-X,14,01,I,4,,,,,,,,,,,-8.2,Late III,14,4,14,,04,,Additional_Objects_M,Animals,Model animal,"Pottery, without a slip. This bird is probably a model of a fowl, but some would see in it a species of goose. ","2.2"" high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-002-X,074,LXXIV,2,13-X-02-07-X,13,02,II,7,,,,,,,,,,,-9.2,Late III,13,7,13,,07,,Additional_Objects_M,Animals,Model animal,"Pottery; no slip. A fowl or dove on a narrow pedestal, A hole, 0.2"" in diameter, in the back near the tail produces a whistle if blown into.","2.9"" high. A hole, 0.2"" in diameter. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-003-X,074,LXXIV,3,13-X-03-19-X,13,03,III,19,,,,,,,,,,,-6,Late II,13,19,13,,19,,Additional_Objects_M,Animals,Model animal,"Pottery, with no slip. A brid's head and neck, identified by the Zoological survey as representing a pheasant. Carefully modelled.  knofe was used to remove surplus material.","Present height 1.32""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-004-X,074,LXXIV,4,25-X-02-15-X,25,02,II,15,,,,,,,,,,,-8.4,Late III,25,15,25,,15,,Additional_Objects_M,Animals,Model animal,"Pottery, with a red slip. A dove, as shown by its fan-shaped tail. The base of the pedestal on which it once stood is missing. ","1.55"" high.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-005-X,074,LXXIV,5,18-X-00-110-X,18,00,,110,,,,,,,,,,,-5.8,Late II,18,110,18,,110,3-digit room,Additional_Objects_M,Animals,Model animal,"Pottery, with traces of a fine white slip which was doubtless one coloured; indeed, a black a pigmet still remains in the incisions on the tail. The set of the tail and the remains of a comb  leave no doubt that this little model has the characteristics of gallus domesticus. The wings droop slightly and there are two holes to take stick legs. Carefully modelled, with the feathrs indicated by incised lines. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-006-X,074,LXXIV,6,14-X-02-16-X,14,02,II,16,,,,,,,,,,,-5,Late II,14,16,14,,16,,Additional_Objects_M,Animals,Model animal,"Vitreous paste, with no trace of colour. Couchant figure of a ram with a hole pierced laterally through the shoulders for suspensions. Made in a mould and rather roughly finished. ","0.99"" long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-007-X,074,LXXIV,7,14-X-00-30-X,14,00,,30,15-X-00-13-X,15,,,13,,,,,,-6.9,Late II,14&15,30&13,14,,30,,Additional_Objects_M,Animals,Model animal,"Pottery, thickly coated with a red slip. The movable arm of a figure. Somewhat roughly made, with no attempt to represent the hand. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-008-X,074,LXXIV,8,23-X-01-01-X,23,01,I,1,,,,,,,,,,,-6.9,Late II,23,1,23,,01,,Additional_Objects_M,Animals,Model animal,"Pottery, with traces of a cream slip. The hollow head of a bull with the horns and one ear missing. ","3.53"" high. Hole in base, 0.3"" in diameter. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-009-X,074,LXXIV,9,,SURFACE,,,,,,,,,,,,,,-4.4,Late Ib,SURFACE,,SURFACE,,0,"check location (""surface""?)",Additional_Objects_M,Animals,Model animal,"Glazed paste, with no trace of colour. A bird with outstretched wings, seen from above with the head to the right. Has a hole at the back to thread it on a necklace. ","1"" long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-010-X,074,LXXIV,10,,SURFACE,,,,,,,,,,,,,,-4.4,Late Ib,SURFACE,,SURFACE,,0,"check location (""surface""?)",Additional_Objects_M,Animals,Model animal,"Glazed paste, with no trace of colour. A bird with outstretched wings, seen from above with the head to the right. Has a hole at the back to thread it on a necklace. ","1"" long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
