Feature,Block,House,House_rom,Room,Block-House,Level_ft,Period_cited_in_text,Est_start_year,Est_end_year,Level_context,Size_notes,Materials_notes,Text,Page_num,Notes_internal
Doorsill,04,00,,79,#NAME?,-14,Intermediate I,2400,2499,Exact Measure,3 ft. 9 ins. wid,,"The only apparent entrances were two doors at the south. The doorway of room 79 was 3 ft. 9 ins. wide ; that is, slightly wider than during the two previous phases. The masonry that blocked up the previous doorway formed its sill.'^  (14 ft. below datum.)  The entrance to room 13 was the same width but its sill was about a foot higher. The large room 11-16, 35 ft. long by 19 ft. wide, was not subdivided at this period ; its walls bear no traces of the bonding-in of partition walls (PI. XXX, a, b). But without doorways it is impossible to be sure of the use to which this building was now put.",,
Doorsill,04,00,,13,#NAME?,-18.2,Intermediate II,2500,2599,Exact Measure,,,"The entrance to room 13 was moved a few feet to the west, the old doorway being blocked up.' ( the new door was 18-2 ft. below datum.) ",,
Doorsill,04,00,,03,#NAME?,-18.4,Intermediate II,2500,2599,Exact Measure,,,"
of the building, each tread in passage 3 to the west 8• 75ms.broad and9• 25ins. high. At the foot of
 stairway there was a sniall landing 6-5 ins. above the adjacent door-sill 18.4 ft below datum",,
Doorsill,04,00,,,#NAME?,-15.3,Intermediate II,2500,2599,Exact Measure, 8 ft. wide,,"In this phase, the eastern section (III) of the Palace was divided nearly equally in halves by a massive wall running east to west, in which there was at first a doorway, 8 ft. wide, at the eastern end.’ ( ts sill was 15' 3 ft. below datum.) This door was, however, bricked up at the latter end of the sub-period, probably at the time when the annexe was enlarged by building an upper storey and at the same time separated into two properties, as shown by the building of the two staircases just described.",,
Door-Socket,04,00,,,#NAME?,,Intermediate III,2600,2699,Raised Above Footing,,,"Close to the western jamb of the doorway^ we found that somewhat rare article, a door-socket, roughly scooped out of a piece of broken brick. The walls of this room stand 15 ft. high in places and show evidence of having been raised from the height of 4 ft. 7 ins. above the footing of the Intermediate III Phase.",67,
Doorsill,04,00,,,#NAME?,-20.5,Intermediate III,2600,2699,Highest,Average from 2 ft. 11 ins. to 3 ft. 5 ins. in width,,"The levels of the door- sills throughout this block vary by no more than 6 ins., the highest being 20-5 ft. below datum. The doors average from 2 ft. 11 ins. to 3 ft. 5 ins. in width and there is a footing round many of the walls at the average level of — 20 3 ft. Two sizes of bricks were noted, 11 • 75 X 5-9 x 2'75 ins. and 12>(5-9x2-75 ins.  It was refreshing to find a building at this early level in which we are not in doubt about a single doorway, for though the four walls that divide rooms 14, 15 and 16 from one another had been removed in some places down to sill- level (PI. XXX, a and b), sufficient was left accurately to determine the positions of the doorways. It is unlikely that there were any doorways in the N.-S. parti- tion wall, for there was obviously no need for them, and there are none in the analogous wall in the three smaller chambers (5, 8) in this block.   ",67-68,check multi-doors
Doorsill,04,00,,,#NAME?,-20.5,Intermediate III,2600,2699,Highest (Doorsill),,,"The levels of the door- sills throughout this block vary by no more than 6 ins., the highest being 20-5 ft. below datum.",67,
Footing,04,00,,,#NAME?,-20.3,Intermediate III,2600,2699,Average (Footing),,,"There is a footing round many of the walls at the average level of — 20 3
ft. Two sizes of bricks were noted, 11 • 75 X 5-9 x 2'75 ins. and 12>(5-9x2-75 ins.",67,
Pavement,04,00,,,#NAME?,-20.5,Intermediate III,2600,2699,Exact Measure,,burnt bricks,"A large storage jar in the north-western corner ol room 16 unfortunately fell to pieces on removal. Immediately below it was another, with its rim just below the pavement which was of two courses of burnt brick.^ (This pavement was 20-5 ft. below datum.)",67,
Doorsill,04,00,,03,#NAME?,-7.6,Late II and I (b and a),2000,2299,Exact Measure,,,"Room 3 is a long narrow chamber and slightly irregular in shape.. Its original length seems to have been 25 ft. and it averages 3 ft. 8 ins. wide. At the northern end of its western wall a sill-less doorway was found, which in the Late Ib Phase was blocked up roughly with broken bricks. Chamber
5 measures 16 ft. 6 ins. long by 7 ft. 10 ins. wide and was entered from chamber
3 by a doorway a little over 4 ft. wide, whose sill is 7-6 ft. below datum. door-jambs which are fairly well-preserved stood 4 ft. above the sill.",,
Doorsill,04,00,,,#NAME?,-8.7,Late II and I (b and a),2000,2299,Exact Measure,3 ft. 6 ins. wide,,"The sill of the doorway, 3 ft. 6 ins. wide, in the eastern wall of chamber 13 was 8-7 ft. below datum and the jambs still stood 3 ft. 2 ins. high. This door- way led into chamber 79, whose southern and eastern walls had almost entirely disappeared.",,STOPPED working on Block 4 -- may resume later 
Doorsill,04,00,,14,#NAME?,-5.4,Late II and I (b and a),2000,2299,Exact Measure,3 ft. 6 ms. Wide,,"Room 14 measured 16 it- 2 ins. by 11 ft. 2 ins., and the eastern doorway 
3 ft. 6 ms. Wide, with its sill 5-4
  had been subdivided by a roughly built partition wall. rooms 14 and 15 was certainly of Late I date.",,
Foundation,07,01,I,,#NAME?,-7.2,Late II and I (b and a),2000,2299,Average,,,"House I, which was 40 ft. N.-S., by 36 ft. E.-W., was exceptionally well built, though none of its massive walls rested on masonry of earlier date. The average level to which its foundations reached was 7.2 ft. below datum, and in places its walls still stood some 3 ft. high. The bricks used in their construction were 11x 5 X 2 • 25 ins. in size. Its interior proved most uninteresting ; not one of the rooms was paved, though it is possible that brick floors that once existed were removed in still later times. ",84,
Footing,07,01,I,,#NAME?,-16.3,Unclear Period,,,Exact Measure,,,Footings at the levels — 16-3 and — 5-4 ft. point to the oceu- pation of this house in both the Late II and Late Ib Phases. ,84,check text to be sure meaning is correctly transcribed here
Footing,07,01,I,,#NAME?,-5.4,Unclear Period,,,Exact Measure,,,Footings at the levels — 16-3 and — 5-4 ft. point to the oceu- pation of this house in both the Late II and Late Ib Phases. ,84,
Pavement,07,02,II,,#NAME?,-7.3,Late II,2200,2299,Exact Measure,,,East and south of the well are the remains of a neatly laid pavement of 10 X 5 X 2 ins. bricks. An edging 2-25 ins. high once ran all round this pavement which was laid in the Late  II phase (^ At the level 7-3 ft. below datum.) ,84,"""laid in the Late  II phase"""
Platform,07,02,II,30,#NAME?,-8.1,Late II,2200,2299,Exact Measure,,,In the remains of a room (30) to the south-east of the kiln was a dilapidated ablution platform of the Late II Phase.2  ,85,
Doorsill,07,02,II,35,#NAME?,-9.2,Late III,,,Exact Measure,3 ft. 3 ins. wide ,,"The House II of the period with its annexe (IX) was very badly wrecked and only two doorways could be found in the annexe. That on the eastern side of room 35 was 3 ft. 3 ins. wide with its sill 9.2 ft. below datum, whereas the door-sill of room 33, of the same width, was 8 ins. lower.  
The walls of House II though destroyed almost to foundation level were as remarkably thick as in the previous periods. The brick door-sill of an entrance, only 1 ft. 9 ins. wide, into chamber 87 from the outside had disappeared.",82,
Doorsill,07,02,II,33,#NAME?,-8.5,Late III,,,Relational Remark,3 ft. 3 ins. wide ,,"The House II of the period with its annexe (IX) was very badly wrecked and only two doorways could be found in the annexe. That on the eastern side of room 35 was 3 ft. 3 ins. wide with its sill 9.2 ft. below datum, whereas the door-sill of room 33, of the same width, was 8 ins. lower.  
The walls of House II though destroyed almost to foundation level were as remarkably thick as in the previous periods. The brick door-sill of an entrance, only 1 ft. 9 ins. wide, into chamber 87 from the outside had disappeared.",82,
