,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
10,074-011-X,9,10,85,-6.6,Late II,Animals,Model animal,"Shell. A very carefully carved bull''s head with sockets for the eyes, ears and horns, which were doubtless made of some rare material afterwards removed. This head was probably cemented by the flat surface at the back to a body.  ",Artefacts,,,,Domestic,"Shell. A very carefully carved bull''s<br>head with sockets for the eyes,<br>ears and horns, which were doubtless<br>made of some rare material afterwards<br>removed. This head was probably cemented<br>by the flat surface at the<br>back to a body.  "
17,077-002-X,7,07,58,-9.4,Late III,Animals,Model animal,"Pottery, with a dark red slip. An animal with short straight horns which may have been intended to be an antelope, though it has a long tail. Round pellets for eyes but no other details of face or body shown. ",Artefacts,,,,Domestic,"Pottery, with a dark red slip.<br>An animal with short straight horns<br>which may have been intended to<br>be an antelope, though it has<br>a long tail. Round pellets for<br>eyes but no other details of<br>face or body shown. "
18,077-003-X,9,10,83,-5.2,Late II,Animals,Model animal,"Pottery, with no slip nor traces of colour. With its downward drooped wings, this may represent a dove. Two holes in the base of the figure just below the neck evidently took small peg legs. Very careful work as though made in a mould and touched up afterwards. ",Artefacts,,,,Domestic,"Pottery, with no slip nor traces<br>of colour. With its downward drooped<br>wings, this may represent a dove.<br>Two holes in the base of<br>the figure just below the neck<br>evidently took small peg legs. Very<br>careful work as though made in<br>a mould and touched up afterwards.<br>"
21,056-054-X,10,02,26,-11.1,Intermediate I,Pottery - Plain and Banded,,,Artefacts,,,,Domestic,Not Available
22,077-007-X,7,09,30,-11.6,Intermediate I,Animals,Model animal,"Pottery, with neither slip nor traces of colouring. Very careful work as if made in a mould and trimmed up afterwards. Possiblyy a dove. Of the three holes in the base, two evidently took the stick legs and the third a support to be fixted in a pedestal. ",Artefacts,,,,Domestic,"Pottery, with neither slip nor traces<br>of colouring. Very careful work as<br>if made in a mould and<br>trimmed up afterwards. Possiblyy a dove.<br>Of the three holes in the<br>base, two evidently took the stick<br>legs and the third a support<br>to be fixted in a pedestal.<br>"
24,077-009-X,9,09,66,-10.8,Intermediate I,Animals,Model animal,"Faience, with traces of apple-green glaze. Eyes and nostrils indicated by small pittings and the mouth by a cut. Perforated longtitudinlly, and obviously intended to be worn on a cord as an amulet. Very roughly finsihed. ",Artefacts,,,,Domestic,"Faience, with traces of apple-green glaze.<br>Eyes and nostrils indicated by small<br>pittings and the mouth by a<br>cut. Perforated longtitudinlly, and obviously intended<br>to be worn on a cord<br>as an amulet. Very roughly finsihed.<br>"
25,058-004-X,4,00,,-11.7,Intermediate I,Pottery - Plain and Banded,,,Artefacts,,,,Domestic,Not Available
29,077-014-X,7,04,19,-11.5,Intermediate I,Animals,Model animal,"Pottery, with a red wash. Heas with the long, spiral, laterla horns of a goat, an animal which seems to have been sacred among the Indus Valley people. It seems to have been supported on a stick, for which there is a rough hole. No details other than round eyes and quite indefinite ears are to be seen. ",Artefacts,,,,Domestic,"Pottery, with a red wash. Heas<br>with the long, spiral, laterla horns<br>of a goat, an animal which<br>seems to have been sacred among<br>the Indus Valley people. It seems<br>to have been supported on a<br>stick, for which there is a<br>rough hole. No details other than<br>round eyes and quite indefinite ears<br>are to be seen. "
30,077-015-X,9,04,6,-6.8,Late II,Animals,Model animal,"Bronze(?) Figure of a eam in couchant position. Though carefully made, corrosion has removed much of the detail. A small pit on the shoulders suggests that it was intended to drill a hole to take a cord.",Artefacts,,,,Domestic,"Bronze(?) Figure of a eam in<br>couchant position. Though carefully made, corrosion<br>has removed much of the detail.<br>A small pit on the shoulders<br>suggests that it was intended to<br>drill a hole to take a<br>cord."
32,077-017-X,9,00,90,-8.2,Late III,Animals,Model animal,"Pottery. Small dog with a curled tail and lop ears. Nostrils and mouth not indicated, but the eyes are represented by round pellets. Roughly modelled, possibly a child. ",Artefacts,,,,Domestic,"Pottery. Small dog with a curled<br>tail and lop ears. Nostrils and<br>mouth not indicated, but the eyes<br>are represented by round pellets. Roughly<br>modelled, possibly a child. "
33,077-018-X,9,03,29,-1.9,Late Ia,Animals,Model animal,"Pottery, formerly covered with a red wash. A curious, dog-like beast with broad erect ears and a very definite beard roughly incised to represent the separate hairs. Both ears adn nostrils are further elaborated by holes. The pellet eyes are now missing, and so is the rial. ",Artefacts,,,,Domestic,"Pottery, formerly covered with a red<br>wash. A curious, dog-like beast with<br>broad erect ears and a very<br>definite beard roughly incised to represent<br>the separate hairs. Both ears adn<br>nostrils are further elaborated by holes.<br>The pellet eyes are now missing,<br>and so is the rial. "
34,077-019-X,9,09,65,-11.5,Intermediate I,Animals,Model animal,"Faience, with no trace of glaze left. Soft white paste resembling powdered wteatite. Dog with long pricked ears, and the eyes, nostrils and mouth represented by indentations. Badly weathered, with portion missing. ",Artefacts,,,,Domestic,"Faience, with no trace of glaze<br>left. Soft white paste resembling powdered<br>wteatite. Dog with long pricked ears,<br>and the eyes, nostrils and mouth<br>represented by indentations. Badly weathered, with<br>portion missing. "
35,077-020-X,9,01,47,-3.4,Late Ib,Animals,Model animal,"Squirrel. Vitreous paste, turquoise-blue in colour. The three strips down the back are indicated by a purplish-brown, doubless a mananese paint. ",Artefacts,,,,Domestic,"Squirrel. Vitreous paste, turquoise-blue in colour.<br>The three strips down the back<br>are indicated by a purplish-brown, doubless<br>a mananese paint. "
37,058-012-X,10,04,87,-11.7,Intermediate I,Pottery - Plain and Banded,,,Artefacts,,,,Domestic,Not Available
38,078-001-X,9,07,17,-9.1,Late III,Animals,Model animal,"Pottery, with a cream slip. Roughly modelled bull. Both horns missing. Plain, round pellets for eyes. No markings of any desciption; apparently the work of a child. Both the fore and hind-legs are joined; no attempt was made to separate them even by a line-but for this the modeling of this anumal is fairly good. ",Artefacts,,,,Domestic,"Pottery, with a cream slip. Roughly<br>modelled bull. Both horns missing. Plain,<br>round pellets for eyes. No markings<br>of any desciption; apparently the work<br>of a child. Both the fore<br>and hind-legs are joined; no attempt<br>was made to separate them even<br>by a line-but for this the<br>modeling of this anumal is fairly<br>good. "
39,078-002-X,9,08,20,-10.2,Intermediate I,Animals,Model animal,"Faience, with traces of a dark red(?) glaze. Soft, white paste, possibly powdered steatite. Head of a monkey with incised holes to represent eyes, ears and nostrils, and a narrow silt for the mouth. The parting of the hair on the top of the head is carefully indicated. Quite creditable workmanship. ",Artefacts,,,,Domestic,"Faience, with traces of a dark<br>red(?) glaze. Soft, white paste, possibly<br>powdered steatite. Head of a monkey<br>with incised holes to represent eyes,<br>ears and nostrils, and a narrow<br>silt for the mouth. The parting<br>of the hair on the top<br>of the head is carefully indicated.<br>Quite creditable workmanship. "
45,078-008-X,4,00,14,-8.2,Late III,Animals,Model animal,"Pottery, with a light red slip. This is possibly a monkey climbing a tree. The eyes are represented by round pellets, the nostrils and mouth by a slight incisions. Though the tail is missing, its stumps suggests that it ws held close to the legs. ",Artefacts,,,,Domestic,"Pottery, with a light red slip.<br>This is possibly a monkey climbing<br>a tree. The eyes are represented<br>by round pellets, the nostrils and<br>mouth by a slight incisions. Though<br>the tail is missing, its stumps<br>suggests that it ws held close<br>to the legs. "
46,078-009-X,9,12,90,-6.9,Late II,Animals,Model animal,"Pottery, with traces of a light red slip. Roughly made and finished.",Artefacts,,,,Domestic,"Pottery, with traces of a light<br>red slip. Roughly made and finished."
47,078-010-X,7,03,40,-3.2,Late Ib,Animals,Model animal,"Pottery, with a light red slip. This figure should have been included with the human figurines as it represents a crawling child. The pellet eyes are slightly oval, and the mouth and lips are represented as in other human figurines by incising a line on a narrow added strip of clay. Each of the slightly projecting ears has a ear-hole. The head is covered with a number of small circular disks, obviously intended to represent an infant's curls. There was also a necklace, but all that remains is a medallion still sticking to the breast, with two crossed lines incised upon it. A bangle is shown on the rihgt arm The buttocks are clearly indicated, and also the anus and sexual organs. ",Artefacts,,,,Domestic,"Pottery, with a light red slip.<br>This figure should have been included<br>with the human figurines as it<br>represents a crawling child. The pellet<br>eyes are slightly oval, and the<br>mouth and lips are represented as<br>in other human figurines by incising<br>a line on a narrow added<br>strip of clay. Each of the<br>slightly projecting ears has a ear-hole.<br>The head is covered with a<br>number of small circular disks, obviously<br>intended to represent an infant's curls.<br>There was also a necklace, but<br>all that remains is a medallion<br>still sticking to the breast, with<br>two crossed lines incised upon it.<br>A bangle is shown on the<br>rihgt arm The buttocks are clearly<br>indicated, and also the anus and<br>sexual organs. "
49,078-012-X,7,07,58,-10.6,Intermediate I,Animals,Model animal,"Pottery, with traces of light red slip. Though there is a flat base ipon which the figure will not stand, a hole in it shows that it was intended, rather, to be supported on a stick. A hole which perhaps represents the navel communicates with the hollow interior of the figure. Roughly modelled and finished. ",Artefacts,,,,Domestic,"Pottery, with traces of light red<br>slip. Though there is a flat<br>base ipon which the figure will<br>not stand, a hole in it<br>shows that it was intended, rather,<br>to be supported on a stick.<br>A hole which perhaps represents the<br>navel communicates with the hollow interior<br>of the figure. Roughly modelled and<br>finished. "
51,079-002-X,7,08,16,-26.5,Early Periods,Animals,Model animal,"Pottery; no slip. Small figure of rhinoceros very carefully made, even to the addition of the sexual organs. Horn missing. In place of the usual strips of clay to represent the armour-like hide of the animal, the body and even parts of the head are pricked all over, a somewhat curious procedure since the rhinoceros is comparatively hairless. ",Artefacts,,,,Domestic,"Pottery; no slip. Small figure of<br>rhinoceros very carefully made, even to<br>the addition of the sexual organs.<br>Horn missing. In place of the<br>usual strips of clay to represent<br>the armour-like hide of the animal,<br>the body and even parts of<br>the head are pricked all over,<br>a somewhat curious procedure since the<br>rhinoceros is comparatively hairless. "
52,108-014-X,4,00,5,-18.4,Intermediate III,Cooking Baking Utensils,Peg,Part of the horn of a deer or antelope with a groove cut round it near the broader end. ,Artefacts,,,,Domestic,Part of the horn of a<br>deer or antelope with a groove<br>cut round it near the broader<br>end. 
