Row Labels,[check data + blank],Early Periods,Late Ia,Late Ib,Late II,Intermediate I,Intermediate II,Intermediate III,Late III,Grand Total
Pottery - Incised and Painted - Upper,,,,,1,,,,4,5
Household Objects,,2,,,,2,,2,3,9
Weights And Measures,,,,1,4,2,3,2,2,14
Vessels,,2,1,,,1,4,8,,16
Lithics,1,2,,1,2,12,3,2,2,25
Games And Toys,3,4,,2,4,2,10,15,13,53
Human Figure,3,16,,5,2,10,13,18,15,82
Tools,2,9,3,5,7,15,7,17,17,82
Cooking Baking Utensils,9,9,2,3,8,7,9,27,17,91
Pottery - Incised and Painted,1,25,2,3,12,19,10,26,19,117
Animals,3,25,1,11,11,17,19,33,14,134
Personal Ornament,3,6,4,9,19,18,13,38,25,135
Beads,35,27,15,37,53,52,41,51,67,378
Metal,2,45,11,59,51,41,46,86,95,436
Pottery - Plain and Banded,11,119,1,16,50,63,78,150,83,572
Seal,12,40,16,49,77,139,103,124,151,711
Grand Total,48,331,56,201,301,400,359,599,527,2860
,,,,,,,,,,
Row Labels,Intermediate I,Intermediate II,Intermediate III,Late II-I,Late III,total,,,,
Pottery - Incised and Painted - Upper,,,,1,4,5,,,,
Household Objects,2,,2,0,3,7,,,,
Weights And Measures,2,3,2,5,2,14,,,,
Vessels,1,4,8,1,,14,,,,
Lithics,12,3,2,3,2,22,,,,
Games And Toys,2,10,15,6,13,46,,,,
Human Figure,10,13,18,7,15,63,,,,
Tools,15,7,17,15,17,71,,,,
Cooking Baking Utensils,7,9,27,13,17,73,,,,
Pottery - Incised and Painted,19,10,26,17,19,91,,,,
Animals,17,19,33,23,14,106,,,,
Personal Ornament,18,13,38,32,25,126,,,,
Beads,52,41,51,105,67,316,,,,
Metal,41,46,86,121,95,389,,,,
Pottery - Plain and Banded,63,78,150,67,83,441,,,,
Seal,139,103,124,142,151,659,,,,
Grand Total,400,359,599,558,527,2443,,,,
